Title	Status	Link	Description	Assignees	Labels
Release of Improved Attack Experience	Open	https://github.com/elastic/roadmap/issues/205	"## Release of Improved Attack Experience

### Value proposition

The focus of this initiative is the general availability (GA) release of the enhanced attack experience. To effectively triage attacks, analysts need consistency with the existing alert workflows, as previously discussed. Key improvements include better alert correlations, improved table grouping functionality, and new attack view..."		
New Detection Overview Dashboard	Open	https://github.com/elastic/roadmap/issues/204	"## New Detection Overview Dashboard

### Value proposition

As experiences evolve to improve the triage of attacks and alerts, users require a clear detections overview dashboard within the Security Solution. This dashboard will summarize critical detections and provide users with key performance indicators (KPIs) related to all alert and attack data.

Key features may include:
* **Alert and At..."		
New Attack Viewer for Context Pivoting	Open	https://github.com/elastic/roadmap/issues/203	"## New Attack Viewer for Context Pivoting

### Value proposition

Analyst workflows currently include a dedicated experience for viewing attacks, which is effective for immediate response. However, this approach limits the ability to easily cross-reference and preview attack details within other relevant contexts. For example, when an analyst is viewing an alert associated with an attack, they ..."		
Improved Attack Triage Experience	Open	https://github.com/elastic/roadmap/issues/202	"## Improved Attack Triage Experience

### Value proposition

Attack Discovery provides analysts with a summarized detection that groups and contextualizes related alerts. With the release of attack scheduling, analysts require a dedicated experience for triage and response. By basing this on the familiar alerts page, analysts will have established workflows for responding to and investigating t..."		
Alert Close with Reason	Closed	https://github.com/elastic/roadmap/issues/201	"# **Alert Close with Reason**

## **Value proposition**

To streamline the alert triage process, we will enhance the alert closure workflow. Currently, analysts complete their investigation or response by closing an alert and can optionally add tags or notes to document their findings. While helpful, this existing method is not a streamlined solution.

By requiring analysts to select a ""reason""..."		
Add Windows ARM support for Elastic Defend	Open	https://github.com/elastic/roadmap/issues/200	"**What the feature is (as Title)**: Windows ARM support for Elastic Defend

**Value proposition**: With native ARM support, analysts can monitor and protect all Windows endpoints with the same fidelity, speed, and reliability as traditional x86 systems.

Adding Elastic Defend support for ARM eliminates coverage gaps as organizations adopt ARM-based laptops and Copilot+ PCs, ensuring that detect..."		
Custom YARA rules	Open	https://github.com/elastic/roadmap/issues/199	"**Value proposition**
Enable Elastic Defend users to automatically detect known malware and suspicious patterns through automated YARA scans integrated with Elastic Defend, while also providing the flexibility to add and manage custom YARA rules directly from the Elastic Security UI. This enhances Elastic Defend’s threat detection depth and gives analysts more control over custom detection logi..."		
Endpoint Forensics - Osquery	Open	https://github.com/elastic/roadmap/issues/198	"**Value proposition**
Enable analysts and responders to perform deep forensic analysis directly from Elastic Security Osquery Manager by enhancing osquery-based endpoint visibility, performance, and usability. This includes expanding forensic coverage via new osquery tables (browser history, amcache, jumplists and open handles and improving the in-product osquery interface with new out-of-the-b..."		
Memory dump Linux response action	Open	https://github.com/elastic/roadmap/issues/197	"**Value proposition**
Extend Elastic Security’s forensic and response capabilities to Linux endpoints by enabling remote process memory dump collection. This allows analysts to capture memory snapshots from specific Linux processes directly from the Response Console, facilitating rapid malware triage, memory-resident threat detection, and post-compromise investigation.

**Expected outcome**

- ..."		
Browser history and amcache osquery tables	Closed	https://github.com/elastic/roadmap/issues/196	"**Value proposition**
Add two osquery extension tables  to Elastic’s osquery offering: browser_history (for major browsers: Chrome, Edge/Chromium, Firefox, Safari where applicable) and amcache (Windows Amcache.hve parsing). These extensions give investigators and hunters immediate, normalized access to browser navigation artifacts and executed-program history directly from Elastic-managed osque..."		
Windows Memory Dump response action	Closed	https://github.com/elastic/roadmap/issues/195	"**Value proposition**
Enable Elastic Security users to remotely collect memory dumps from Windows endpoints directly through the response console, improving investigation and incident response workflows. This feature empowers analysts to perform advanced forensic analysis on volatile memory artifacts, such as injected processes, credential theft, or fileless malware.

**Expected outcome**

- An..."		
FedRAMP High Authorization for Elastic Cloud Hosted on AWS GovCloud	Open	https://github.com/elastic/roadmap/issues/194	"**What the feature is**
We are working toward achieving FedRAMP High authorization for our Elastic Cloud Hosted (ECH) product in AWS GovCloud (US). This authorization would certify that Elastic’s managed cloud platform satisfies more than 400 rigorous FedRAMP controls, ensuring secure and compliant operations for mission-critical workloads across federal, state, and local agencies. This is in a..."		
OTLP Endpoint for Elastic Cloud Hosted	Open	https://github.com/elastic/roadmap/issues/193	"**What the feature is (as Title)**
A managed OTLP endpoint, like that which is available in Serverless, for accepting native OTLP data directly into Elastic Cloud Hosted clusters.

**Value proposition**
No longer requires running a Gateway or using Elastic's APM Server to accept OTLP data into an Elastic Cloud Hosted cluster."		
Easy CSP Ingest with EDOT Cloud Forwarder	Open	https://github.com/elastic/roadmap/issues/192	"**What the feature is (as Title)**
EDOT Collector specially packaged to support connecting Cloud Service Provider accounts and projects to Elastic Cloud Hosted and Serverless Projects.

**Value proposition**
Auto-scaling Agent-less ingest simplifies getting data from cloud providers."		
Best-Practice OOTB Alerts for popular off-the-shelf services with Elastic Integrations	Open	https://github.com/elastic/roadmap/issues/191	"**What the feature is (as Title)** Best-Practice OOTB Alerts for popular off-the-shelf services with Elastic Integrations
Elastic OOTB alert rule templates enable users to set monitoring coverage for their most popular off the shelf services, with minimum investment and expertise needed. 

**Value proposition**
***- User & Problem:***
SREs and developers who rely on critical Elastic-monitored s..."		
Enhanced Insight and Usability of OOTB Dashboards for popular off-the-shelf services	Open	https://github.com/elastic/roadmap/issues/190	"**What the feature is (as Title)** Enhanced Insight and Usability of OOTB Dashboards for popular off-the-shelf services
We are reimagining the OOTB dashboards for popular off-the-shelf (OTS) services, to deliver enhanced insight and a superior user experience. Our focus is on better usability, navigability, structure based on key use cases, and visual consistency. This ensures users can quickly..."		
[LLM Observability] Amazon Bedrock AgentCore observability	Closed	https://github.com/elastic/roadmap/issues/189	"**What the feature is (as Title)**  [LLM Observability] Observability for Amazon Bedrock AgentCore

**Value proposition**
Developers and SREs who run agentic workloads on Bedrock AgentCore want to be able to understand the performance, reliability, cost and output quality. This enables them to monitor the health of their agentic workloads and have the necessary observability for quicker root ca..."		
Late Chunking support for JinaAI embeddings	Closed	https://github.com/elastic/roadmap/issues/188	"## Value proposition

Enable higher-relevance retrieval on long documents by adding Late Chunking support for JinaAI embeddings to the Inference API. Unlike naïve chunking -which splits first, embeds each chunk, then pools- Late Chunking embeds the full document first and then chunks based on the embedded tokens.

This ordering preserves significantly more cross-chunk context, improving semanti..."		
One syntax to rule your models: Elastic Inference API adds more chat completions	Closed	https://github.com/elastic/roadmap/issues/187	"## Value proposition

With Elastic’s Inference API you ship AI faster, without lock-in. It integrates an array of models for embeddings, reranking, chat completions, and powers full RAG pipelines with a unified, intuitive Elasticsearch query across leading model providers. We are continuously enhancing our array of integrations. We handle the provider-specific complexity and orchestration, givi..."		
Find the signal in the noise with ESQL-powered Log Pattern Analysis in Discover	Open	https://github.com/elastic/roadmap/issues/186	"## Value proposition

Turn noisy logs to signal, fast. Use ES|QL-powered Log Pattern Analysis in your Discover workflows to cluster messages, surface what changed, and drill into root causes, all without context switching or hopping tools, drastically speeding RCA and reducing MTTR. 

## Expected outcome  

Users are able to use the full power of Log Pattern Analysis within Discover with a deli..."		
Fast, approximate ES|QL queries for analyzing very large datasets	Open	https://github.com/elastic/roadmap/issues/185	"## Value proposition

Get near-instant insights from massive datasets by executing high-speed, approximate analytical queries. This allows them to make faster analysis in Discover and Dashboards without waiting for resource-intensive, exact computations. 

## Expected outcome 
Data analysts and SRE obtain fast approximate insights from very large datasets. Those include:
- An approximate aggreg..."		
Terraform support for anomaly detection and datafeeds	Closed	https://github.com/elastic/roadmap/issues/184	"## Value proposition

By integrating Anomaly Detection job and datafeed management into the Elasticsearch Terraform provider, we transform what can be a slow, complex, error-prone, and manual process into an automated, auditable, and scalable ""as code"" workflow.

Operational bottlenecks are eliminated and organizations are empowered to rapidly deploy, update, and govern their monitoring capabil..."		
Integrated Multi-Modal Search: Generate and Search Image Vectors Directly in Elasticsearch	Open	https://github.com/elastic/roadmap/issues/183	"## Value proposition

By integrating multimodal models into the Inference API, we are changing what ""search"" means for a developer using Elastic. For the first time, developers can generate multi-modal vectors within Elastic for applications that perform sophisticated multi-modal search, like searching images with text, by using the same single, seamless and intuitive Elasticsearch Inference AP..."		
Improved datetime picker for faster incident response and data analysis	Open	https://github.com/elastic/roadmap/issues/182	"**What the feature is**
An overhaul of the Kibana datetime range selector (in Discover, Dashboards, etc.) to help users be more efficient in troubleshooting observability and security incidents. 

**Value Proposition**
The improved timepicker reduces the time spent configuring a time range and accelerates incident response and data exploration. By allowing users to save and share time range pre..."		
Browser locale language support in Kibana	Open	https://github.com/elastic/roadmap/issues/181	"**What the feature is**
Browser Locale Language allows users to view the Kibana interface in their preferred language (French, German, Japanese, Chinese, or English) by automatically detecting and applying the setting configured in their web browser, without having to configure a .yml file. 

**Value Proposition**
Currently, global organizations are forced to default all users to English, despi..."		
Introduce Value Reports in Elastic Cloud Hosted	Open	https://github.com/elastic/roadmap/issues/180	"### **Value Reports**

**Value proposition**  
Value Reports help customers quantify the impact of Elastic Security by showcasing real tangible business value and return on investment in terms of time and money saved.

---

**Expected outcome**  
Customers can easily understand and communicate the value Elastic Security delivers to their organization.  
The feature drives helps justifies invest..."		
Attack Discovery API	Open	https://github.com/elastic/roadmap/issues/178	"**What the feature is**: Attack Discovery API

**Value proposition**: Attack Discovery can now be triggered programmatically, via any automation platform or tooling that users wish. This API also includes the ability to update workflow state, sharing options, and much more, giving users the freedom to automate any of this functionality. 

**Expected outcome**: Whilst users enjoy leveraging Atta..."		
Share AI Assistant Chats within Security	Closed	https://github.com/elastic/roadmap/issues/177	"**What the feature is**: Share AI Assistant Chats within Security

**Value proposition**: With Chat Sharing, analysts can seamlessly share valuable AI Assistant conversations across their organization. This streamlines collaboration by eliminating screenshots and manual work, while ensuring proper attribution and security controls.

**Expected outcome**: Customers gain faster, more auditable co..."		
Surface Agent Builder as an Opt In Experience	Closed	https://github.com/elastic/roadmap/issues/176	"Surface Agent Builder as an Opt In Experience

**Value proposition**: Agent Builder standardizes all chat and agentic experiences under one platform, enabling faster innovation and a more consistent user experience across solutions. 
Agent Builder us to move from a monolithic application to a decentralized model where the Security team, our customers, and our partners can build and share custom..."		
Unified and Searchable Case Attachments	Closed	https://github.com/elastic/roadmap/issues/175	"We are redesigning how evidence is managed in Cases. This update will replace the separate tabs for Alerts, Events, and Observables with a single, unified ""Attachments"" tab that consolidates all evidence into one scalable location.

**Value proposition**
In complex investigations, analysts may attach hundreds of pieces of evidence to a single case. Manually scrolling through long lists to find ..."		
Draft Cases	Open	https://github.com/elastic/roadmap/issues/174	"Introduces a ""Draft"" state for cases, providing a dedicated space for initial triage and evidence collection before a formal incident is declared.

**Value proposition**
Decouples the act of investigating from the act of declaring an incident. This allows teams to safely separate ""signal"" from ""noise,"" ensuring that low-confidence investigations do not pollute critical metrics like Mean Time to..."		
Event Attachments for Cases	Closed	https://github.com/elastic/roadmap/issues/173	"This feature expands the Case attachment framework to allow attaching individual events, not just alerts, to a Case.

**Value proposition**
Improve investigative context by allowing analysts to attach any relevant event, providing a more complete and flexible evidence locker. This enables analysts to pinpoint and save suspicious events that may not have triggered a formal alert, ensuring all ev..."		
Auto-Extract Observables for Cases	Closed	https://github.com/elastic/roadmap/issues/172	"This feature will automatically identify and extract key security observables (such as agent ID, IP addresses, and file hashes) from alerts when they are added to a Case.

**Value proposition**
This update accelerates the triage and investigation process by eliminating manual data entry. This automation helps analysts save time, reduce errors, and more quickly correlate related activities. 

**..."		
Incremental Case IDs	Closed	https://github.com/elastic/roadmap/issues/171	"This feature introduces a new, human-readable, incremental ID for all Cases across the Elastic platform.

**Value proposition**
The update streamlines case tracking, communication, and collaboration. This simplifies the user experience by providing a simple, easy-to-share identifier (e.g., ""Case #123"") instead of a long, complex UUID.

**Expected outcome**

- All new and existing cases will be ..."		
Entity Analytics - Entity Graph	Open	https://github.com/elastic/roadmap/issues/170	"**Problem Statement**
Security investigations are often slow, siloed, and event-centric. Analysts must manually pivot between disparate logs (process, network, authentication, etc) to piece together an attacker's actions. This makes it difficult to quickly determine the full scope (blast radius), root cause, relationships and attack path of a security incident.

**Value proposition**
We will pr..."		
Flexible Case Templates	Open	https://github.com/elastic/roadmap/issues/169	"This feature will introduce a flexible and user-defined templating system for Cases. Administrators will be able to create, manage, and customize case templates to fit their specific operational workflows, moving beyond the current one-size-fits-all model.

**Value proposition**
This update will allow organizations to tailor investigative workflows to their specific needs. Security teams can en..."		
Detection rule changes history	Open	https://github.com/elastic/roadmap/issues/168	"**Value proposition**
Allow user to review previously saved rules modifications to see who made which changes at the specific moment.

**Expected outcome**
User will be able to see a timeline of saved rule modifications and review which changes were made."		
Automatic security rule gap remediation	Closed	https://github.com/elastic/roadmap/issues/167	"**Value proposition**
Quicker address rule execution gaps without manual user action to reduce false negatives.

**Expected outcome**
User can setup automatic gap remediation to run the rules over execution gaps. The system automatically checks for any gaps and schedules rule executions for missed times.

**Key user stories / use cases**
- As a user, I want to ensure any intermittent gaps in ru..."		
Granular permissions for Detection Engineers	Closed	https://github.com/elastic/roadmap/issues/166	"**Value proposition**
Allows admin to setup roles with different levels of privilege for managing Security Rules, Exceptions and Alerts to achieve the principle of the least privilege.

**Expected outcome**
New permissions available for users to setup desired roles.

**Key user stories / use cases**
As an admin, I want to setup roles to allow read only access to Rules, Exceptions and Alerts, se..."		
Convert Lens visualizations to ES|QL	Open	https://github.com/elastic/roadmap/issues/165	"**What the feature is** 

Convert Lens visualizations to ES|QL

**Value proposition**
Lens visualizations are the most popular way for users to explore and analyze data in Kibana because of their simplicity and user-friendly interface. However, these visualizations cannot get advantage of powerful must-have features that are only available for ES|QL, such as variable controls or advanced analys..."		
Enhanced Insight and Usability for Kubernetes OOTB Dashboards	Open	https://github.com/elastic/roadmap/issues/164	"**What the feature is (as Title)** Enhanced Insight and Usability for Kubernetes OOTB Dashboards

We are reimagining the Kubernetes OOTB dashboards to deliver enhanced insight and a superior user experience. Our focus is on better usability, navigability, structure based on key use cases, and visual consistency. This ensures users can quickly answer their most frequent questions, understand clu..."		
Entity Analytics - Privilege User Monitoring	Closed	https://github.com/elastic/roadmap/issues/163	"**Overview**

Privileged user monitoring allows you to track the activity of users with elevated permissions, such as system administrators or users with access to sensitive data. These accounts are often targets for attackers who try to gain elevated privileges and access critical systems. To reduce this risk, it’s important to monitor and audit privileged users’ behavior regularly.

**Value p..."		
Dynamic Alert Risk Score	Open	https://github.com/elastic/roadmap/issues/162	"**Background**
Currently, the alert risk score is a static attribute assigned to the rule, similar to a severity (critical, high, medium, low), but a number vs a keyword to enable sorting for those users that customize the score.

**Value proposition**

We will provide Dynamic Risk Score that accounts for all the Entities within an alert as well as other activities for alert prioritization. Thi..."		
Entity Analytics - Personalized Entity Retrohunting Recommendations	Open	https://github.com/elastic/roadmap/issues/161	"**Roadmap Future - Personalized Entity Retrohunting Recommendations**

**Value proposition**

Empower analysts to hunt with confidence by providing clear, actionable guidance that connects new threats to your organization's specific historical behaviors and environmental context."		
Entity Analytics - Entity GenAI Highlights	Closed	https://github.com/elastic/roadmap/issues/160	"**Background**

Customers require a better understanding of the users and assets they are investigating, and it can be difficult to gain a baseline understanding of an individual entity's behaviors, risk, and attributes until they have spent much time poring over singular alerts, anomaly results, and observed attributes.

Aligned with the ""AI-driven UEBA"" initiative, we will be providing custom..."		
Entity Analytics - Risk Score Privilege User Risk Score Enhancements	Closed	https://github.com/elastic/roadmap/issues/159	"**Background**

We are enhancing our entity risk score calculations ""Bayesian model"" to include privilege users.

**Value proposition**
 
Entity risk score will incorporate Privilege Users to in the weightings of the risk automatically."		
Entity Analytics - Watchlist	Open	https://github.com/elastic/roadmap/issues/158	"**Background:**

The Watchlist feature provides a way for analysts to manually tag and monitor high-risk entities. Besides alerts, security teams often have known risks they must monitor. These can include privilege administrators, C-level executives (high value targets), Departing Employers (potential insider threats), or concerning behaviors from machines or AI Agents.

**Value proposition**
..."		
Entity Analytics - Historical Context Changes & Behavioral Baseline	Open	https://github.com/elastic/roadmap/issues/157	"**Problem**
To investigate effectively, analysts need immediate context on why a specific entity behavior was flagged as anomalous.

Using a ""New Country Login"" anomaly for user ""John Doe"" as an example:

Required Context: The analyst must immediately see the baseline behavior (e.g., ""Baseline Country: USA"") directly compared against the anomalous event (e.g., ""Anomalous Login: Brazil"").
Withou..."		
AI-Driven Entity Analytics	Open	https://github.com/elastic/roadmap/issues/156	"**Background:**

Entity Analytics represent the key pieces of information involved in a security incident in a SIEM. They are the “who”, “what”, “where”, and “when” of any research, hunt or investigation providing crucial context for effective response. Entities are objects in every modern SIEM and can include users, hosts, files, network artifacts, threat intelligence, vulnerabilities and much..."		
Automatic Migration for Detection Rules: Expansion Supported Query Languages: QRadar	Closed	https://github.com/elastic/roadmap/issues/155	"**What the feature is (as Title)** Automatic Migration for Detection Rules: Expansion Supported Query Languages: QRadar

**Value proposition** Add additional supported query language, IBM (QRadar), as part of the translation process to ES|QL. 

**Expected outcome** This will allow for identification of data sources and basic translation from exported rules."		
Entity Analytics - Entity Risk Scoring Alert Filtering	Closed	https://github.com/elastic/roadmap/issues/154	"Entity Risk Scoring Alert Filtering

Background:

Currently, the Entity risk engine supports custom filtering of alerts by making changes to the internal Risk scoring saved object. However, this is not something that we advertise (or recommend).

**Expected outcome**

We will give this option first-class support via the entity risk management settings UI, and allow customers to save that config..."		
Airlock Digital Integration	Closed	https://github.com/elastic/roadmap/issues/153	"**What the feature is**: Airlock Digital Integration

**Value proposition**: Provides comprehensive visibility into endpoint application control and execution behavior by ingesting agent health, execution histories, and server activities from Airlock Digital, enabling security teams to monitor blocked malware/ransomware, detect policy violations, track unauthorized execution attempts, and maint..."		
IBM QRadar Integration	Closed	https://github.com/elastic/roadmap/issues/152	"**What the feature is**: IBM QRadar Integration

**Value proposition**: Ingests security offenses from IBM QRadar SIEM into Elastic Security, enabling organizations to leverage Elastic AI SOC Engine (EASE) for enhanced analytics and automation on QRadar-detected threats while providing unified visibility across QRadar and native Elastic detections for comprehensive security operations

**Expect..."		
Cyera Integration	Closed	https://github.com/elastic/roadmap/issues/151	"**What the feature is**: Cyera Integration

**Value proposition**: Provides real-time visibility into active data security issues and policy violations across cloud data stores by ingesting unresolved issues from Cyera's data security platform, enabling security teams to monitor sensitive data exposure, classification anomalies, and compliance violations alongside other security events in Elast..."		
Island Browser Integration	Closed	https://github.com/elastic/roadmap/issues/150	"**What the feature is**: Island Browser Integration 

**Value proposition**: Provides visibility into enterprise browser activity by ingesting user and device telemetry from Island's security-focused browser, enabling organizations to monitor web application interactions, detect risky browsing behavior, and enforce data protection policies while correlating browser-based threats with broader se..."		
Query Streams and Draft Mode	Open	https://github.com/elastic/roadmap/issues/149	"### Value proposition:

Users need more flexibility in how they organize, view, and process their data. Sometimes they need to create custom, reusable views that span multiple data sources (e.g., ""all production errors""), or filter a single source. 

Other times, they need to safely test new ingest-time processing and partitioning rules without risking production data. This feature introduces t..."		
Logs Streams	Open	https://github.com/elastic/roadmap/issues/148	"### Value proposition:

Observability, security, and platform engineers need a simple, consistent, and scalable way to manage their log data. Today, this often requires manually configuring and maintaining complex index templates, ingest pipelines, and retention policies across many disparate data sources, which is error-prone and time-consuming. 

Logs Streams provide an opinionated, managed, ..."		
Intelligent Asset Suggestions and AI Generation	Open	https://github.com/elastic/roadmap/issues/147	"### Value proposition:

When users add data to a stream, they often face a ""blank slate"" problem, requiring manual effort to build relevant dashboards, processing rules, and alerts. This feature provides an AI-powered assistant to solve this. It will proactively analyze data and make deterministic suggestions from a knowledge base (e.g., ""This looks like Nginx data, apply this dashboard?""). Fur..."		
Improved AI Suggestions for Stream Partitioning and Processing	Closed	https://github.com/elastic/roadmap/issues/146	"### What the feature is

Improved AI Suggestions for Stream Partitioning and Processing

---

### Value proposition

Users onboarding new data often struggle with the manual effort required to partition streams and define complex processing rules like Grok patterns. Existing AI suggestions help, but can be overly specific, don't cover the full pipeline (like date parsing), or are inflexible, fo..."		
Improved memory monitoring for vector use cases	Open	https://github.com/elastic/roadmap/issues/145	"**What the feature is and who it’s for**

Aside from monitoring the Elasticsearch JVM heap memory, AutoOps now monitors the system (i.e. so-called off-heap) memory in order to ensure that users relying on hybrid and semantic search get notified proactively before experiencing performance degradations when searching through vector data.

**Value proposition**

Users' confidence on hybrid and sem..."		
Open API for AutoOps data	Open	https://github.com/elastic/roadmap/issues/144	"**What the feature is and who it’s for**

AutoOps now offers a way to retrieve insights and recommendations through an open API, which unlocks many new opportunities for all users eager to get access to AutoOps data in a programmatic way.

**Value proposition**

AutoOps-derived intelligence and insights are now available for users to build upon. Exported AutoOps data can now be consumed in a nu..."		
Information about slow ES|QL queries is available in AutoOps	Closed	https://github.com/elastic/roadmap/issues/143	"**What the feature is and who it’s for**

As part of detecting and surfacing long-running search tasks, AutoOps performs an analysis of the underlying DSL or ES|QL search query, and provides a list of potential reasons for increased latency. This feature is useful to any kind of users who want to leverage the new ES|QL query language for their search, observability or security use cases, and es..."		
Serverless monitoring with AutoOps - EIS Tier	Open	https://github.com/elastic/roadmap/issues/142	"**What the feature is and who it’s for**
The EIS Tier view in AutoOps for Elastic Cloud Serverless provides visibility into how inference performance, and token usage, helping users understand how inference activities impact overall project efficiency and usage.

This capability is designed for Serverless users running inference workloads who want to track their token consumption, optimize perf..."		
